accession_number,genus,species
AF076645,Ralstonia,gilardii
AF085226,Ralstonia,paucula
AF300324,Ralstonia,taiwanensis
AF300325,Ralstonia,taiwanensis
AJ002302,Ralstonia,basilensis
AJ270258,Ralstonia,thomasii
EF549386,Sinorhizobium,sp.
EF549387,Mesorhizobium,tarimense
EF549388,Mesorhizobium,gobiense
EU748916,Mesorhizobium,sp.
FJ544253,Mesorhizobium,sp.
FJ544254,Mesorhizobium,sp.
FJ544255,Mesorhizobium,sp.
FJ544256,Mesorhizobium,sp.
FJ544257,Mesorhizobium,sp.
FJ544258,Mesorhizobium,sp.
FJ544259,Mesorhizobium,sp.
FJ544260,Mesorhizobium,sp.
FJ544261,Mesorhizobium,sp.
FJ544262,Phyllobacterium,sp.
FR752824,Rhizobium,leguminosarum
FR752829,Rhizobium,leguminosarum
FR752831,Rhizobium,leguminosarum
FR752850,Rhizobium,leguminosarum
FR752853,Rhizobium,leguminosarum
FR752884,Rhizobium,leguminosarum
FR752888,Rhizobium,leguminosarum
FR752892,Rhizobium,leguminosarum
FR752902,Rhizobium,leguminosarum
FR752913,Rhizobium,leguminosarum
FR752948,Rhizobium,leguminosarum
FR752949,Rhizobium,leguminosarum
FR752955,Rhizobium,leguminosarum
FR752956,Rhizobium,leguminosarum
FR752960,Rhizobium,leguminosarum
FR752982,Rhizobium,leguminosarum
FR753007,Rhizobium,leguminosarum
FR753009,Rhizobium,leguminosarum
FR753018,Rhizobium,sp.
FR753043,Rhizobium,sp.
FR753050,Rhizobium,sp.
FR753062,Bradyrhizobium,sp.
FR753074,Ensifer,medicae
FR753084,Bradyrhizobium,sp.
FR753085,Bradyrhizobium,sp.
FR753089,Bradyrhizobium,sp.
FR753091,Bradyrhizobium,sp.
FR753092,Bradyrhizobium,sp.
FR753094,Ensifer,sp.
FR753098,Rhizobium,sp.
FR753099,Rhizobium,sp.
FR753102,Rhizobium,sp.
FR753103,Rhizobium,sp.
FR753107,Rhizobium,sp.
FR753109,Bradyrhizobium,sp.
FR753111,Rhizobium,sp.
FR753112,Bradyrhizobium,sp.
FR753114,Bradyrhizobium,sp.
FR753115,Bradyrhizobium,sp.
FR753120,Ensifer,meliloti
FR753121,Bradyrhizobium,japonicum
FR753123,Bradyrhizobium,japonicum
FR753134,Bradyrhizobium,canariense
FR753141,Rhizobium,sp.
FR753142,Rhizobium,sp.
FR753144,Bradyrhizobium,sp.
FR753146,Rhizobium,sp.
FR753148,Rhizobium,sp.
FR753152,Ensifer,medicae
FR753160,Bradyrhizobium,japonicum
FR753161,Bradyrhizobium,sp.
FR774166,Mesorhizobium,sp.
FR774167,Mesorhizobium,sp.
FR774170,Mesorhizobium,sp.
FR774171,Mesorhizobium,sp.
FR774172,Mesorhizobium,sp.
FR774175,Mesorhizobium,sp.
FR774176,Mesorhizobium,sp.
FR774177,Mesorhizobium,sp.
FR774178,Mesorhizobium,sp.
FR774179,Rhizobium,giardinii
FR774182,Mesorhizobium,sp.
FR774191,Mesorhizobium,sp.
FR774192,Mesorhizobium,sp.
HQ538612,Rhizobium,sp.
HQ538613,Sinorhizobium,fredii
HQ538614,Sinorhizobium,sp.
HQ538615,Herbaspirillum,sp.
HQ538616,Sinorhizobium,sp.
HQ538617,Rhizobium,etli
HQ538618,Rhizobium,huautlense
HQ538619,Bradyrhizobium,sp.
HQ538620,Mesorhizobium,sp.
HQ538621,Sinorhizobium,sp.
HQ538622,Sinorhizobium,sp.
HQ538623,Rhizobium,sp.
M22508,A.,faecalis
M22518,P.,cepacia
M32021,A.,eutrophus
U08101,Rhizobium,leguminosarum
X67036,P.,solanacearum
X67042,P.,pickettii
